X,Y,id,lbl,fip,mmt_id,short__frm,long_frm,adm0,adm1,adm2,adm3,adm4,adm5,stl-0,stl-1,stl-2,stl-3,stl-4,stl-5,bbox
-1.41751110803263,5.14027044015042,85,GHA-85,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Nanumba South,-,-,-,92,6,9,-,-,-,"[ -1.583660, 5.031760, -1.296570, 5.256620 ]"
-1.62178406295183,5.27217503887214,86,GHA-86,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Saboba/Chereponi,-,-,-,92,6,10,-,-,-,"[ -1.988640, 4.901470, -1.435560, 5.646040 ]"
-0.663955234540507,5.86698728406853,87,GHA-87,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Savelugu/Nanton,-,-,-,92,6,11,-,-,-,"[ -0.826210, 5.702240, -0.391780, 6.039760 ]"
-0.73304728334495,5.62463300858967,88,GHA-88,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Sawla-Tuna-Kalba,-,-,-,92,6,12,-,-,-,"[ -0.893070, 5.502310, -0.600510, 5.745030 ]"
-0.972416869560204,5.42677888134894,89,GHA-89,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Tamale Municipal,-,-,-,92,6,13,-,-,-,"[ -1.102830, 5.300040, -0.851950, 5.555070 ]"
-0.965028877104566,5.28551306150399,90,GHA-90,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Tolon/Kumbungu,-,-,-,92,6,14,-,-,-,"[ -1.213620, 5.137150, -0.795960, 5.416960 ]"
-1.7433312253485,4.98161223731777,91,GHA-91,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,West Gonja,-,-,-,92,6,15,-,-,-,"[ -1.851230, 4.863410, -1.582690, 5.102260 ]"
-2.03892136785228,4.83096148795183,92,GHA-92,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,West Mamprusi,-,-,-,92,6,16,-,-,-,"[ -2.203270, 4.736720, -1.813790, 4.927960 ]"
-1.9731690678602,5.27961433817888,93,GHA-93,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Yendi,-,-,-,92,6,17,-,-,-,"[ -2.236380, 4.899860, -1.772110, 5.660420 ]"
-2.33285393575618,7.35744957946052,94,GHA-94,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Northern,Zabzugu/Tatale,-,-,-,92,6,18,-,-,-,"[ -2.522890, 7.123820, -2.131140, 7.608640 ]"
-2.18207563007536,7.21118561824927,95,GHA-95,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper East,Bawku Municipal,-,-,-,92,7,1,-,-,-,"[ -2.311600, 7.027230, -2.052320, 7.395060 ]"
-0.734411999977089,5.40591239734317,96,GHA-96,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper East,Bawku West,-,-,-,92,7,2,-,-,-,"[ -0.915820, 5.223410, -0.554210, 5.588420 ]"
-0.474764023753938,6.17974160511526,97,GHA-97,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper East,Bolgatanga Municipal,-,-,-,92,7,3,-,-,-,"[ -0.631450, 6.061860, -0.297450, 6.295040 ]"
-0.455918925301507,5.97984740478796,98,GHA-98,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper East,Bongo,-,-,-,92,7,4,-,-,-,"[ -0.641070, 5.840110, -0.276560, 6.135860 ]"
-0.357797546792417,5.64036175079267,99,GHA-99,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper East,Builsa,-,-,-,92,7,5,-,-,-,"[ -0.499930, 5.475870, -0.264870, 5.812130 ]"
-0.479662234686397,5.52746404956847,100,GHA-100,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper East,Garu-Tempane,-,-,-,92,7,6,-,-,-,"[ -0.668260, 5.323870, -0.401180, 5.740020 ]"
-2.64319845302365,7.48556344732296,101,GHA-101,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper East,Kassena-Nankana,-,-,-,92,7,7,-,-,-,"[ -2.863540, 7.286070, -2.419080, 7.680070 ]"
-2.65445037290979,7.9333526859604,102,GHA-102,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper East,Talensi-Nabdam,-,-,-,92,7,8,-,-,-,"[ -2.745270, 7.661440, -2.527380, 8.185210 ]"
-2.34380005016603,8.17508753722203,103,GHA-103,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper West,Jirapa/Lambussie,-,-,-,92,8,1,-,-,-,"[ -2.602920, 7.562960, -2.114730, 8.787280 ]"
-2.14146262659636,7.73361454075494,104,GHA-104,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper West,Lawra,-,-,-,92,8,2,-,-,-,"[ -2.267460, 7.416830, -1.967930, 8.045830 ]"
-1.73060577400025,7.96764818195765,105,GHA-105,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper West,Nadowli,-,-,-,92,8,3,-,-,-,"[ -2.137000, 7.723990, -1.379290, 8.211290 ]"
-1.95770595239524,7.67882943838787,106,GHA-106,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper West,Sissala East,-,-,-,92,8,4,-,-,-,"[ -2.123880, 7.441610, -1.814280, 7.919810 ]"
-1.59225322789906,7.60728708775961,107,GHA-107,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper West,Sissala West,-,-,-,92,8,5,-,-,-,"[ -1.877100, 7.331240, -1.180870, 7.882410 ]"
-1.40683648871607,7.38537166670417,108,GHA-108,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper West,Wa East,-,-,-,92,8,6,-,-,-,"[ -1.688750, 7.145650, -1.115770, 7.624740 ]"
0.091142599656954,6.33635060651348,109,GHA-109,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper West,Wa Municipal,-,-,-,92,8,7,-,-,-,"[ -0.035280, 6.105970, 0.206700, 6.566550 ]"
-0.065462100736378,6.30343879477888,110,GHA-110,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Upper West,Wa West,-,-,-,92,8,8,-,-,-,"[ -0.270040, 6.040410, 0.167120, 6.569740 ]"
-0.327875158193501,6.48262932425434,111,GHA-111,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Volta,Adaklu-Anyigbe,-,-,-,92,9,1,-,-,-,"[ -0.515240, 6.286840, -0.126310, 6.677890 ]"
0.107676377590745,5.88983624637455,112,GHA-112,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Volta,Akatsi,-,-,-,92,9,2,-,-,-,"[ -0.129360, 5.685830, 0.346290, 6.104110 ]"
